id,name,address,category,location,lat,lng,numReviews,reviews,polarity,details,originalId,subCategory
328852,boBarlicious,"Hohenzollerndamm 24, Berlin, Germany",restaurant,Berlin,52.490626,13.31427,,,,http://tour-pedia.org/api/getPlaceDetails?id=328852,,
328854,Sunglory GmbH,"Uhlandstr. 118, Berlin, Germany",restaurant,Berlin,52.489546,13.323085,,,,http://tour-pedia.org/api/getPlaceDetails?id=328854,,
328855,Gastroservice Berlin,"Güntzelstraße 28, Berlin, Germany",restaurant,Berlin,52.49172,13.322791,,,,http://tour-pedia.org/api/getPlaceDetails?id=328855,,
328856,Otto Thürmann GmbH,"Paretzer Straße 7, Berlin, Germany",restaurant,Berlin,52.48161,13.316834,,,,http://tour-pedia.org/api/getPlaceDetails?id=328856,,
328857,Mälzer Bäckerei,"Blissestraße 2-6, Berlin, Germany",restaurant,Berlin,52.486186,13.320273,,,,http://tour-pedia.org/api/getPlaceDetails?id=328857,,
328858,Mavena Health Care Deutschland GmbH,"Uhlandstr. 86, Berlin, Germany",restaurant,Berlin,52.488754,13.322506,,,,http://tour-pedia.org/api/getPlaceDetails?id=328858,,
328859,Thürmann GmbH,"Güntzelstraße 40, Berlin, Germany",restaurant,Berlin,52.491469,13.322744,,,,http://tour-pedia.org/api/getPlaceDetails?id=328859,,
328860,Ewerhardy & Huck GbR,"Fehrbelliner Platz 8, Berlin, Germany",restaurant,Berlin,52.491191,13.314496,,,,http://tour-pedia.org/api/getPlaceDetails?id=328860,,
328861,Brinks Berliner Traditionslokal Gaststätte,"Uhlandstr. 127, Berlin, Germany",restaurant,Berlin,52.49138,13.32355,,,,http://tour-pedia.org/api/getPlaceDetails?id=328861,,
328862,-TASTEVIN- uwe schroeder,"Güntzelstraße 28, Berlin, Germany",restaurant,Berlin,52.491736,13.322529,,,,http://tour-pedia.org/api/getPlaceDetails?id=328862,,
328863,Bistro Katis,"Blissestraße 33, Berlin, Germany",restaurant,Berlin,52.482215,13.32056,,,,http://tour-pedia.org/api/getPlaceDetails?id=328863,,
328864,La Malaguena,"Sigmaringer Straße 36, Berlin, Germany",restaurant,Berlin,52.487989,13.319327,,,,http://tour-pedia.org/api/getPlaceDetails?id=328864,,
328865,Freeze A Cocktail,"Uhlandstraße 85, Berlin, Germany",restaurant,Berlin,52.48895,13.32253,,,,http://tour-pedia.org/api/getPlaceDetails?id=328865,,
328866,Cafe Relax,"Brandenburgische Straße 12, Berlin, Germany",restaurant,Berlin,52.489419,13.315796,,,,http://tour-pedia.org/api/getPlaceDetails?id=328866,,
328867,Ristorante Da Giovanni,"Gasteiner Straße 14, Berlin, Germany",restaurant,Berlin,52.487764,13.320461,,,,http://tour-pedia.org/api/getPlaceDetails?id=328867,,
328868,Eiscafe Monte - Bianco,"Uhlandstr. 104, Berlin, Germany",restaurant,Berlin,52.486959,13.32289,,,,http://tour-pedia.org/api/getPlaceDetails?id=328868,,
328869,La Romanza Pizzeria,"Blissestraße 44, Berlin, Germany",restaurant,Berlin,52.481107,13.320161,,,,http://tour-pedia.org/api/getPlaceDetails?id=328869,,
328870,Vegamundi e. K.,"Blissestraße 48, Berlin, Germany",restaurant,Berlin,52.480672,13.320154,,,,http://tour-pedia.org/api/getPlaceDetails?id=328870,,
328871,Nice Ice GmbH,"Aachener Straße 42, Berlin, Germany",restaurant,Berlin,52.481955,13.318832,,,,http://tour-pedia.org/api/getPlaceDetails?id=328871,,
328872,Restaurant Montmartre,"Blissestraße 44, Berlin, Germany",restaurant,Berlin,52.481107,13.320161,,,,http://tour-pedia.org/api/getPlaceDetails?id=328872,,
328873,Kahraman Backshop,"Uhlandstraße 83, Berlin, Germany",restaurant,Berlin,52.489469,13.322623,,,,http://tour-pedia.org/api/getPlaceDetails?id=328873,,
328874,Avamor Restaurant,"Uhlandstraße 120, Berlin, Germany",restaurant,Berlin,52.489848,13.323136,,,,http://tour-pedia.org/api/getPlaceDetails?id=328874,,
328875,Der kleine Marktplatz Feinkost,"Uhlandstraße 120, Berlin, Germany",restaurant,Berlin,52.489848,13.323136,,,,http://tour-pedia.org/api/getPlaceDetails?id=328875,,
328876,Guse Gaststätten GmbH,"Aachener Straße 1, Berlin, Germany",restaurant,Berlin,52.48213,13.318435,,,,http://tour-pedia.org/api/getPlaceDetails?id=328876,,
328877,Ristorante Al Piacere,"Güntzelstraße 37A, Berlin, Germany",restaurant,Berlin,52.491568,13.321869,,,,http://tour-pedia.org/api/getPlaceDetails?id=328877,,
328878,Weinhandel- Der Bocksbeutel,"Hildegardstraße 16A, Berlin, Germany",restaurant,Berlin,52.482057,13.321326,,,,http://tour-pedia.org/api/getPlaceDetails?id=328878,,
328879,wandel café,"Fehrbelliner Platz 1, Berlin, Germany",restaurant,Berlin,52.491051,13.315198,,,,http://tour-pedia.org/api/getPlaceDetails?id=328879,,
328880,Tolle Flammkuchen,"Barstraße, Berlin, Germany",restaurant,Berlin,52.489906,13.314275,,,,http://tour-pedia.org/api/getPlaceDetails?id=328880,,
328881,BSV 1892 Casino,"Forckenbeckstraße 14, Berlin, Germany",restaurant,Berlin,52.482872,13.303342,,,,http://tour-pedia.org/api/getPlaceDetails?id=328881,,
